mes,receita_recorrente,novos_clientes,cancelamentos,tickets_suporte,nps,custo_aquisicao,upsell
2024-01,85000,12,2,45,72,1800,3500
2024-02,88500,15,1,38,75,2100,4200
2024-03,92000,10,3,52,68,1500,2800
2024-04,94500,18,2,41,74,2400,5100
2024-05,99000,14,1,35,78,1900,3800
2024-06,103000,20,4,58,65,2800,6200
2024-07,106500,16,2,44,73,2200,4500
2024-08,112000,22,3,48,71,3000,7000
2024-09,118000,19,1,36,79,2500,5500
2024-10,123500,25,2,42,76,3200,8000
2024-11,129000,17,5,61,62,2300,3200
2024-12,131000,21,3,50,70,2800,6800
